LAST SEEN   TYPE      REASON      OBJECT             MESSAGE
42m         Normal    Scheduled   pod/smoke          Successfully assigned bench/smoke to ocibench-control-plane
42m         Normal    Pulling     pod/smoke          Pulling image "172.31.57.168:5000/model-ballast:estargz-14g"
42m         Normal    Pulled      pod/smoke          Successfully pulled image "172.31.57.168:5000/model-ballast:estargz-14g" in 148ms (148ms including waiting). Image size: 15039532031 bytes.
42m         Normal    Pulling     pod/smoke          Pulling image "172.31.57.168:5000/custom-predictor:v5"
42m         Normal    Pulled      pod/smoke          Successfully pulled image "172.31.57.168:5000/custom-predictor:v5" in 1.18s (1.18s including waiting). Image size: 48519468 bytes.
42m         Normal    Created     pod/smoke          Container created
42m         Normal    Started     pod/smoke          Container started
42m         Normal    Pulled      pod/smoke          Container image "172.31.57.168:5000/model-ballast:estargz-14g" already present on machine and can be accessed by the pod
42m         Normal    Killing     pod/smoke          Stopping container predictor
42m         Warning   Unhealthy   pod/smoke          Readiness probe failed: Get "http://10.244.0.6:8080/healthz": dial tcp 10.244.0.6:8080: connect: connection refused
21m         Normal    Scheduled   pod/v1-sweep       Successfully assigned bench/v1-sweep to ocibench-control-plane
21m         Normal    Pulling     pod/v1-sweep       Pulling image "172.31.57.168:5000/model-ballast:estargz-140g"
21m         Normal    Pulled      pod/v1-sweep       Successfully pulled image "172.31.57.168:5000/model-ballast:estargz-140g" in 228ms (228ms including waiting). Image size: 150374663046 bytes.
21m         Normal    Pulled      pod/v1-sweep       Container image "172.31.57.168:5000/custom-predictor:v5" already present on machine and can be accessed by the pod
21m         Normal    Created     pod/v1-sweep       Container created
21m         Normal    Started     pod/v1-sweep       Container started
3m25s       Normal    Pulled      pod/v1-sweep       Container image "172.31.57.168:5000/model-ballast:estargz-140g" already present on machine and can be accessed by the pod
2m35s       Normal    Killing     pod/v1-sweep       Stopping container predictor
2m23s       Warning   Unhealthy   pod/v1-sweep       Readiness probe failed: Get "http://10.244.0.7:8080/healthz": dial tcp 10.244.0.7:8080: connect: connection refused
22s         Normal    Scheduled   pod/v2-ours-90-1   Successfully assigned bench/v2-ours-90-1 to ocibench-control-plane
22s         Normal    Pulled      pod/v2-ours-90-1   Container image "172.31.57.168:5000/custom-predictor:v5" already present on machine and can be accessed by the pod
22s         Normal    Created     pod/v2-ours-90-1   Container created
21s         Normal    Started     pod/v2-ours-90-1   Container started
21s         Warning   Unhealthy   pod/v2-ours-90-1   Readiness probe failed: Get "http://10.244.0.8:8080/healthz": dial tcp 10.244.0.8:8080: connect: connection refused
19s         Normal    Pulled      pod/v2-ours-90-1   Container image "172.31.57.168:5000/model-ballast:estargz-140g" already present on machine and can be accessed by the pod
13s         Warning   Evicted     pod/v2-ours-90-1   The node was low on resource: ephemeral-storage. Threshold quantity: 9782837803, available: 1488568Ki. Container predictor was using 2264Ki, request is 0, has larger consumption of ephemeral-storage.
13s         Normal    Killing     pod/v2-ours-90-1   Stopping container predictor
